time: 7736.000000.0, 	 iteration: 19, 	 dimension: 3072, 	 spheres 20
time: 8018.000000.0, 	 iteration: 20, 	 dimension: 3072, 	 spheres 20
time: 7748.000000.0, 	 iteration: 21, 	 dimension: 3072, 	 spheres 20
time: 7758.000000.0, 	 iteration: 22, 	 dimension: 3072, 	 spheres 20
time: 7768.000000.0, 	 iteration: 23, 	 dimension: 3072, 	 spheres 20
time: 7752.000000.0, 	 iteration: 24, 	 dimension: 3072, 	 spheres 20
time: 7757.000000.0, 	 iteration: 25, 	 dimension: 3072, 	 spheres 20
time: 7742.000000.0, 	 iteration: 26, 	 dimension: 3072, 	 spheres 20
time: 7768.000000.0, 	 iteration: 27, 	 dimension: 3072, 	 spheres 20
time: 7742.000000.0, 	 iteration: 28, 	 dimension: 3072, 	 spheres 20
time: 7747.000000.0, 	 iteration: 29, 	 dimension: 3072, 	 spheres 20
time: 7762.000000.0, 	 iteration: 30, 	 dimension: 3072, 	 spheres 20
time: 7585.000000.0, 	 iteration: 1, 	 dimension: 256, 	 spheres 20
time: 7795.000000.0, 	 iteration: 2, 	 dimension: 256, 	 spheres 20
time: 7629.000000.0, 	 iteration: 3, 	 dimension: 256, 	 spheres 20
time: 7668.000000.0, 	 iteration: 4, 	 dimension: 256, 	 spheres 20
time: 7676.000000.0, 	 iteration: 5, 	 dimension: 256, 	 spheres 20
time: 7670.000000.0, 	 iteration: 6, 	 dimension: 256, 	 spheres 20
time: 7678.000000.0, 	 iteration: 7, 	 dimension: 256, 	 spheres 20
time: 7638.000000.0, 	 iteration: 8, 	 dimension: 256, 	 spheres 20
time: 7668.000000.0, 	 iteration: 9, 	 dimension: 256, 	 spheres 20
time: 7666.000000.0, 	 iteration: 10, 	 dimension: 256, 	 spheres 20
time: 7774.000000.0, 	 iteration: 11, 	 dimension: 256, 	 spheres 20
time: 7665.000000.0, 	 iteration: 12, 	 dimension: 256, 	 spheres 20
time: 7732.000000.0, 	 iteration: 13, 	 dimension: 256, 	 spheres 20
time: 7650.000000.0, 	 iteration: 14, 	 dimension: 256, 	 spheres 20
time: 7722.000000.0, 	 iteration: 15, 	 dimension: 256, 	 spheres 20
time: 7660.000000.0, 	 iteration: 16, 	 dimension: 256, 	 spheres 20
time: 7662.000000.0, 	 iteration: 17, 	 dimension: 256, 	 spheres 20
time: 7686.000000.0, 	 iteration: 18, 	 dimension: 256, 	 spheres 20
time: 7689.000000.0, 	 iteration: 19, 	 dimension: 256, 	 spheres 20
time: 7658.000000.0, 	 iteration: 20, 	 dimension: 256, 	 spheres 20
time: 7677.000000.0, 	 iteration: 21, 	 dimension: 256, 	 spheres 20
time: 7676.000000.0, 	 iteration: 22, 	 dimension: 256, 	 spheres 20
time: 7699.000000.0, 	 iteration: 23, 	 dimension: 256, 	 spheres 20
time: 7675.000000.0, 	 iteration: 24, 	 dimension: 256, 	 spheres 20
time: 7752.000000.0, 	 iteration: 25, 	 dimension: 256, 	 spheres 20
time: 7663.000000.0, 	 iteration: 26, 	 dimension: 256, 	 spheres 20
time: 7705.000000.0, 	 iteration: 27, 	 dimension: 256, 	 spheres 20
time: 7677.000000.0, 	 iteration: 28, 	 dimension: 256, 	 spheres 20
time: 7691.000000.0, 	 iteration: 29, 	 dimension: 256, 	 spheres 20
time: 7635.000000.0, 	 iteration: 30, 	 dimension: 256, 	 spheres 20
time: 7671.000000.0, 	 iteration: 1, 	 dimension: 1024, 	 spheres 20
time: 7677.000000.0, 	 iteration: 2, 	 dimension: 1024, 	 spheres 20
time: 7649.000000.0, 	 iteration: 3, 	 dimension: 1024, 	 spheres 20
time: 7666.000000.0, 	 iteration: 4, 	 dimension: 1024, 	 spheres 20
time: 7677.000000.0, 	 iteration: 5, 	 dimension: 1024, 	 spheres 20
time: 7684.000000.0, 	 iteration: 6, 	 dimension: 1024, 	 spheres 20
time: 7684.000000.0, 	 iteration: 7, 	 dimension: 1024, 	 spheres 20
time: 7657.000000.0, 	 iteration: 8, 	 dimension: 1024, 	 spheres 20
time: 7652.000000.0, 	 iteration: 9, 	 dimension: 1024, 	 spheres 20
time: 7709.000000.0, 	 iteration: 10, 	 dimension: 1024, 	 spheres 20
time: 7660.000000.0, 	 iteration: 11, 	 dimension: 1024, 	 spheres 20
time: 7657.000000.0, 	 iteration: 12, 	 dimension: 1024, 	 spheres 20
time: 7663.000000.0, 	 iteration: 13, 	 dimension: 1024, 	 spheres 20
time: 7701.000000.0, 	 iteration: 14, 	 dimension: 1024, 	 spheres 20
time: 7692.000000.0, 	 iteration: 15, 	 dimension: 1024, 	 spheres 20
time: 7673.000000.0, 	 iteration: 16, 	 dimension: 1024, 	 spheres 20
time: 7687.000000.0, 	 iteration: 17, 	 dimension: 1024, 	 spheres 20
time: 7676.000000.0, 	 iteration: 18, 	 dimension: 1024, 	 spheres 20
time: 7661.000000.0, 	 iteration: 19, 	 dimension: 1024, 	 spheres 20
time: 7650.000000.0, 	 iteration: 20, 	 dimension: 1024, 	 spheres 20
time: 7677.000000.0, 	 iteration: 21, 	 dimension: 1024, 	 spheres 20
time: 7692.000000.0, 	 iteration: 22, 	 dimension: 1024, 	 spheres 20
time: 7712.000000.0, 	 iteration: 23, 	 dimension: 1024, 	 spheres 20
time: 7742.000000.0, 	 iteration: 24, 	 dimension: 1024, 	 spheres 20
time: 7657.000000.0, 	 iteration: 25, 	 dimension: 1024, 	 spheres 20
time: 7699.000000.0, 	 iteration: 26, 	 dimension: 1024, 	 spheres 20
time: 7639.000000.0, 	 iteration: 27, 	 dimension: 1024, 	 spheres 20
time: 7708.000000.0, 	 iteration: 28, 	 dimension: 1024, 	 spheres 20
time: 7673.000000.0, 	 iteration: 29, 	 dimension: 1024, 	 spheres 20
time: 7685.000000.0, 	 iteration: 30, 	 dimension: 1024, 	 spheres 20
time: 7718.000000.0, 	 iteration: 1, 	 dimension: 3072, 	 spheres 20
time: 7720.000000.0, 	 iteration: 2, 	 dimension: 3072, 	 spheres 20
time: 7678.000000.0, 	 iteration: 3, 	 dimension: 3072, 	 spheres 20
time: 7658.000000.0, 	 iteration: 4, 	 dimension: 3072, 	 spheres 20
time: 7683.000000.0, 	 iteration: 5, 	 dimension: 3072, 	 spheres 20
time: 7684.000000.0, 	 iteration: 6, 	 dimension: 3072, 	 spheres 20
time: 7700.000000.0, 	 iteration: 7, 	 dimension: 3072, 	 spheres 20
time: 7748.000000.0, 	 iteration: 8, 	 dimension: 3072, 	 spheres 20
time: 7645.000000.0, 	 iteration: 9, 	 dimension: 3072, 	 spheres 20
time: 7734.000000.0, 	 iteration: 10, 	 dimension: 3072, 	 spheres 20
time: 7700.000000.0, 	 iteration: 11, 	 dimension: 3072, 	 spheres 20
time: 7660.000000.0, 	 iteration: 12, 	 dimension: 3072, 	 spheres 20
time: 7718.000000.0, 	 iteration: 13, 	 dimension: 3072, 	 spheres 20
time: 7650.000000.0, 	 iteration: 14, 	 dimension: 3072, 	 spheres 20
time: 7705.000000.0, 	 iteration: 15, 	 dimension: 3072, 	 spheres 20
time: 7689.000000.0, 	 iteration: 16, 	 dimension: 3072, 	 spheres 20
time: 7688.000000.0, 	 iteration: 17, 	 dimension: 3072, 	 spheres 20
time: 7681.000000.0, 	 iteration: 18, 	 dimension: 3072, 	 spheres 20
time: 7771.000000.0, 	 iteration: 19, 	 dimension: 3072, 	 spheres 20
time: 7686.000000.0, 	 iteration: 20, 	 dimension: 3072, 	 spheres 20
time: 7677.000000.0, 	 iteration: 21, 	 dimension: 3072, 	 spheres 20
time: 7685.000000.0, 	 iteration: 22, 	 dimension: 3072, 	 spheres 20
time: 7680.000000.0, 	 iteration: 23, 	 dimension: 3072, 	 spheres 20
time: 7676.000000.0, 	 iteration: 24, 	 dimension: 3072, 	 spheres 20
time: 7703.000000.0, 	 iteration: 25, 	 dimension: 3072, 	 spheres 20
time: 7686.000000.0, 	 iteration: 26, 	 dimension: 3072, 	 spheres 20
time: 7700.000000.0, 	 iteration: 27, 	 dimension: 3072, 	 spheres 20
time: 7681.000000.0, 	 iteration: 28, 	 dimension: 3072, 	 spheres 20
time: 7681.000000.0, 	 iteration: 29, 	 dimension: 3072, 	 spheres 20
time: 7680.000000.0, 	 iteration: 30, 	 dimension: 3072, 	 spheres 20
