time: 1608436 	 iteration: 8 	 array size: 100000000 
time: 1664736 	 iteration: 9 	 array size: 100000000 
time: 1559313 	 iteration: 10 	 array size: 100000000 
time: 1606018 	 iteration: 11 	 array size: 100000000 
time: 1644064 	 iteration: 12 	 array size: 100000000 
time: 1612521 	 iteration: 13 	 array size: 100000000 
time: 1554120 	 iteration: 14 	 array size: 100000000 
time: 1564466 	 iteration: 15 	 array size: 100000000 
time: 1634864 	 iteration: 16 	 array size: 100000000 
time: 1550438 	 iteration: 17 	 array size: 100000000 
time: 1559523 	 iteration: 18 	 array size: 100000000 
time: 1549972 	 iteration: 19 	 array size: 100000000 
time: 1558233 	 iteration: 20 	 array size: 100000000 
time: 1607964 	 iteration: 21 	 array size: 100000000 
time: 1547083 	 iteration: 22 	 array size: 100000000 
time: 1572419 	 iteration: 23 	 array size: 100000000 
time: 1551087 	 iteration: 24 	 array size: 100000000 
time: 1571224 	 iteration: 25 	 array size: 100000000 
time: 1530631 	 iteration: 26 	 array size: 100000000 
time: 1546442 	 iteration: 27 	 array size: 100000000 
time: 1634331 	 iteration: 28 	 array size: 100000000 
time: 1559972 	 iteration: 29 	 array size: 100000000 
time: 1575301 	 iteration: 30 	 array size: 100000000 
