time: 89579, iteration: 11, dimension: 256x256, spheres: 20 
time: 88776, iteration: 12, dimension: 256x256, spheres: 20 
time: 94236, iteration: 13, dimension: 256x256, spheres: 20 
time: 94770, iteration: 14, dimension: 256x256, spheres: 20 
time: 93494, iteration: 15, dimension: 256x256, spheres: 20 
time: 98709, iteration: 16, dimension: 256x256, spheres: 20 
time: 94138, iteration: 17, dimension: 256x256, spheres: 20 
time: 91087, iteration: 18, dimension: 256x256, spheres: 20 
time: 88218, iteration: 19, dimension: 256x256, spheres: 20 
time: 92430, iteration: 20, dimension: 256x256, spheres: 20 
time: 88923, iteration: 21, dimension: 256x256, spheres: 20 
time: 100984, iteration: 22, dimension: 256x256, spheres: 20 
time: 96873, iteration: 23, dimension: 256x256, spheres: 20 
time: 97767, iteration: 24, dimension: 256x256, spheres: 20 
time: 95118, iteration: 25, dimension: 256x256, spheres: 20 
time: 95366, iteration: 26, dimension: 256x256, spheres: 20 
time: 93131, iteration: 27, dimension: 256x256, spheres: 20 
time: 87625, iteration: 28, dimension: 256x256, spheres: 20 
time: 92137, iteration: 29, dimension: 256x256, spheres: 20 
time: 94892, iteration: 30, dimension: 256x256, spheres: 20 
time: 1946474, iteration: 1, dimension: 1024x1024, spheres: 20 
time: 1957969, iteration: 2, dimension: 1024x1024, spheres: 20 
time: 1958666, iteration: 3, dimension: 1024x1024, spheres: 20 
time: 1968728, iteration: 4, dimension: 1024x1024, spheres: 20 
time: 1969159, iteration: 5, dimension: 1024x1024, spheres: 20 
time: 1896192, iteration: 6, dimension: 1024x1024, spheres: 20 
time: 1947036, iteration: 7, dimension: 1024x1024, spheres: 20 
time: 1977091, iteration: 8, dimension: 1024x1024, spheres: 20 
time: 1948162, iteration: 9, dimension: 1024x1024, spheres: 20 
time: 1916848, iteration: 10, dimension: 1024x1024, spheres: 20 
time: 1762211, iteration: 11, dimension: 1024x1024, spheres: 20 
time: 1971823, iteration: 12, dimension: 1024x1024, spheres: 20 
time: 1888035, iteration: 13, dimension: 1024x1024, spheres: 20 
time: 1960435, iteration: 14, dimension: 1024x1024, spheres: 20 
time: 1951683, iteration: 15, dimension: 1024x1024, spheres: 20 
time: 1962358, iteration: 16, dimension: 1024x1024, spheres: 20 
time: 1933169, iteration: 17, dimension: 1024x1024, spheres: 20 
time: 1971570, iteration: 18, dimension: 1024x1024, spheres: 20 
time: 1942816, iteration: 19, dimension: 1024x1024, spheres: 20 
time: 1973606, iteration: 20, dimension: 1024x1024, spheres: 20 
time: 1966915, iteration: 21, dimension: 1024x1024, spheres: 20 
time: 1921787, iteration: 22, dimension: 1024x1024, spheres: 20 
time: 1964510, iteration: 23, dimension: 1024x1024, spheres: 20 
time: 1735543, iteration: 24, dimension: 1024x1024, spheres: 20 
time: 1970357, iteration: 25, dimension: 1024x1024, spheres: 20 
time: 1951872, iteration: 26, dimension: 1024x1024, spheres: 20 
time: 1940141, iteration: 27, dimension: 1024x1024, spheres: 20 
time: 1960501, iteration: 28, dimension: 1024x1024, spheres: 20 
time: 1928977, iteration: 29, dimension: 1024x1024, spheres: 20 
time: 1961377, iteration: 30, dimension: 1024x1024, spheres: 20 
time: 17070561, iteration: 1, dimension: 3072x3072, spheres: 20 
time: 17108604, iteration: 2, dimension: 3072x3072, spheres: 20 
time: 17381635, iteration: 3, dimension: 3072x3072, spheres: 20 
time: 17294958, iteration: 4, dimension: 3072x3072, spheres: 20 
time: 16995111, iteration: 5, dimension: 3072x3072, spheres: 20 
time: 17189626, iteration: 6, dimension: 3072x3072, spheres: 20 
time: 17237163, iteration: 7, dimension: 3072x3072, spheres: 20 
time: 17089523, iteration: 8, dimension: 3072x3072, spheres: 20 
time: 17222538, iteration: 9, dimension: 3072x3072, spheres: 20 
time: 17205466, iteration: 10, dimension: 3072x3072, spheres: 20 
time: 16957256, iteration: 11, dimension: 3072x3072, spheres: 20 
time: 17083933, iteration: 12, dimension: 3072x3072, spheres: 20 
time: 17222746, iteration: 13, dimension: 3072x3072, spheres: 20 
time: 17255309, iteration: 14, dimension: 3072x3072, spheres: 20 
time: 17230316, iteration: 15, dimension: 3072x3072, spheres: 20 
time: 16967134, iteration: 16, dimension: 3072x3072, spheres: 20 
time: 17339673, iteration: 17, dimension: 3072x3072, spheres: 20 
time: 17079794, iteration: 18, dimension: 3072x3072, spheres: 20 
time: 17095390, iteration: 19, dimension: 3072x3072, spheres: 20 
time: 17338868, iteration: 20, dimension: 3072x3072, spheres: 20 
time: 17185054, iteration: 21, dimension: 3072x3072, spheres: 20 
time: 17200563, iteration: 22, dimension: 3072x3072, spheres: 20 
time: 17094519, iteration: 23, dimension: 3072x3072, spheres: 20 
time: 17265784, iteration: 24, dimension: 3072x3072, spheres: 20 
time: 17348198, iteration: 25, dimension: 3072x3072, spheres: 20 
time: 17291254, iteration: 26, dimension: 3072x3072, spheres: 20 
time: 17248268, iteration: 27, dimension: 3072x3072, spheres: 20 
time: 17249618, iteration: 28, dimension: 3072x3072, spheres: 20 
time: 17358916, iteration: 29, dimension: 3072x3072, spheres: 20 
time: 17173029, iteration: 30, dimension: 3072x3072, spheres: 20 
