time: 1454, iteration: 13, dimension: 256x256, spheres: 20 
time: 1511, iteration: 14, dimension: 256x256, spheres: 20 
time: 1692, iteration: 15, dimension: 256x256, spheres: 20 
time: 1618, iteration: 16, dimension: 256x256, spheres: 20 
time: 1887, iteration: 17, dimension: 256x256, spheres: 20 
time: 1465, iteration: 18, dimension: 256x256, spheres: 20 
time: 1361, iteration: 19, dimension: 256x256, spheres: 20 
time: 1426, iteration: 20, dimension: 256x256, spheres: 20 
time: 1741, iteration: 21, dimension: 256x256, spheres: 20 
time: 1874, iteration: 22, dimension: 256x256, spheres: 20 
time: 1540, iteration: 23, dimension: 256x256, spheres: 20 
time: 1901, iteration: 24, dimension: 256x256, spheres: 20 
time: 1430, iteration: 25, dimension: 256x256, spheres: 20 
time: 1889, iteration: 26, dimension: 256x256, spheres: 20 
time: 1466, iteration: 27, dimension: 256x256, spheres: 20 
time: 1713, iteration: 28, dimension: 256x256, spheres: 20 
time: 1526, iteration: 29, dimension: 256x256, spheres: 20 
time: 1526, iteration: 30, dimension: 256x256, spheres: 20 
time: 1567, iteration: 1, dimension: 1024x1024, spheres: 20 
time: 1543, iteration: 2, dimension: 1024x1024, spheres: 20 
time: 1631, iteration: 3, dimension: 1024x1024, spheres: 20 
time: 1597, iteration: 4, dimension: 1024x1024, spheres: 20 
time: 1583, iteration: 5, dimension: 1024x1024, spheres: 20 
time: 1849, iteration: 6, dimension: 1024x1024, spheres: 20 
time: 1630, iteration: 7, dimension: 1024x1024, spheres: 20 
time: 1603, iteration: 8, dimension: 1024x1024, spheres: 20 
time: 1546, iteration: 9, dimension: 1024x1024, spheres: 20 
time: 1751, iteration: 10, dimension: 1024x1024, spheres: 20 
time: 1536, iteration: 11, dimension: 1024x1024, spheres: 20 
time: 1786, iteration: 12, dimension: 1024x1024, spheres: 20 
time: 1605, iteration: 13, dimension: 1024x1024, spheres: 20 
time: 1583, iteration: 14, dimension: 1024x1024, spheres: 20 
time: 1561, iteration: 15, dimension: 1024x1024, spheres: 20 
time: 1778, iteration: 16, dimension: 1024x1024, spheres: 20 
time: 2209, iteration: 17, dimension: 1024x1024, spheres: 20 
time: 1608, iteration: 18, dimension: 1024x1024, spheres: 20 
time: 1559, iteration: 19, dimension: 1024x1024, spheres: 20 
time: 1725, iteration: 20, dimension: 1024x1024, spheres: 20 
time: 1545, iteration: 21, dimension: 1024x1024, spheres: 20 
time: 1520, iteration: 22, dimension: 1024x1024, spheres: 20 
time: 1774, iteration: 23, dimension: 1024x1024, spheres: 20 
time: 2243, iteration: 24, dimension: 1024x1024, spheres: 20 
time: 2001, iteration: 25, dimension: 1024x1024, spheres: 20 
time: 1539, iteration: 26, dimension: 1024x1024, spheres: 20 
time: 1909, iteration: 27, dimension: 1024x1024, spheres: 20 
time: 1516, iteration: 28, dimension: 1024x1024, spheres: 20 
time: 1734, iteration: 29, dimension: 1024x1024, spheres: 20 
time: 1774, iteration: 30, dimension: 1024x1024, spheres: 20 
time: 2357, iteration: 1, dimension: 3072x3072, spheres: 20 
time: 2539, iteration: 2, dimension: 3072x3072, spheres: 20 
time: 2379, iteration: 3, dimension: 3072x3072, spheres: 20 
time: 2234, iteration: 4, dimension: 3072x3072, spheres: 20 
time: 2193, iteration: 5, dimension: 3072x3072, spheres: 20 
time: 2275, iteration: 6, dimension: 3072x3072, spheres: 20 
time: 2291, iteration: 7, dimension: 3072x3072, spheres: 20 
time: 2202, iteration: 8, dimension: 3072x3072, spheres: 20 
time: 2299, iteration: 9, dimension: 3072x3072, spheres: 20 
time: 2352, iteration: 10, dimension: 3072x3072, spheres: 20 
time: 2825, iteration: 11, dimension: 3072x3072, spheres: 20 
time: 2488, iteration: 12, dimension: 3072x3072, spheres: 20 
time: 2206, iteration: 13, dimension: 3072x3072, spheres: 20 
time: 2555, iteration: 14, dimension: 3072x3072, spheres: 20 
time: 2249, iteration: 15, dimension: 3072x3072, spheres: 20 
time: 2252, iteration: 16, dimension: 3072x3072, spheres: 20 
time: 2297, iteration: 17, dimension: 3072x3072, spheres: 20 
time: 2272, iteration: 18, dimension: 3072x3072, spheres: 20 
time: 2314, iteration: 19, dimension: 3072x3072, spheres: 20 
time: 2437, iteration: 20, dimension: 3072x3072, spheres: 20 
time: 2285, iteration: 21, dimension: 3072x3072, spheres: 20 
time: 2255, iteration: 22, dimension: 3072x3072, spheres: 20 
time: 2321, iteration: 23, dimension: 3072x3072, spheres: 20 
time: 2470, iteration: 24, dimension: 3072x3072, spheres: 20 
time: 2283, iteration: 25, dimension: 3072x3072, spheres: 20 
time: 2422, iteration: 26, dimension: 3072x3072, spheres: 20 
time: 2283, iteration: 27, dimension: 3072x3072, spheres: 20 
time: 2668, iteration: 28, dimension: 3072x3072, spheres: 20 
time: 2248, iteration: 29, dimension: 3072x3072, spheres: 20 
time: 2545, iteration: 30, dimension: 3072x3072, spheres: 20 
time: 79665, iteration: 1, dimension: 256x256, spheres: 20 
time: 84702, iteration: 1, dimension: 1024x1024, spheres: 20 
time: 46712, iteration: 1, dimension: 256x256, spheres: 20 
time: 85341, iteration: 1, dimension: 1024x1024, spheres: 20 
time: 319943, iteration: 1, dimension: 3072x3072, spheres: 20 
time: 65744, iteration: 1, dimension: 256x256, spheres: 20 
timeprekernel: 43362, 	 
        time: 2499, 	 
        timepostkernel: 1614}, dimension: 256x256, spheres: 20 
timeprekernel: 46830, 	 
        time: 3343, 	 
        timepostkernel: 20255}, dimension: 1024x1024, spheres: 20 
timeprekernel: 92417, 	 
        time: 13429, 	 
        timepostkernel: 183292}, dimension: 3072x3072, spheres: 20 
