61311 	  1 	  256 	 
42697 	  2 	  256 	 
46927 	  3 	  256 	 
47774 	  4 	  256 	 
43392 	  5 	  256 	 
42341 	  6 	  256 	 
42376 	  7 	  256 	 
39036 	  8 	  256 	 
46947 	  9 	  256 	 
42360 	  10 	  256 	 
43514 	  11 	  256 	 
53860 	  12 	  256 	 
46128 	  13 	  256 	 
46240 	  14 	  256 	 
40825 	  15 	  256 	 
47103 	  16 	  256 	 
46522 	  17 	  256 	 
47622 	  18 	  256 	 
42349 	  19 	  256 	 
45782 	  20 	  256 	 
42702 	  21 	  256 	 
41880 	  22 	  256 	 
42858 	  23 	  256 	 
47053 	  24 	  256 	 
42853 	  25 	  256 	 
42757 	  26 	  256 	 
47121 	  27 	  256 	 
46323 	  28 	  256 	 
42437 	  29 	  256 	 
45958 	  30 	  256 	 
46581 	  1 	  1024 	 
45554 	  2 	  1024 	 
51771 	  3 	  1024 	 
48503 	  4 	  1024 	 
43060 	  5 	  1024 	 
46666 	  6 	  1024 	 
43193 	  7 	  1024 	 
41804 	  8 	  1024 	 
43728 	  9 	  1024 	 
48012 	  10 	  1024 	 
42282 	  11 	  1024 	 
45151 	  12 	  1024 	 
41574 	  13 	  1024 	 
41073 	  14 	  1024 	 
47323 	  15 	  1024 	 
48322 	  16 	  1024 	 
40847 	  17 	  1024 	 
43486 	  18 	  1024 	 
49673 	  19 	  1024 	 
48095 	  20 	  1024 	 
46397 	  21 	  1024 	 
51090 	  22 	  1024 	 
43142 	  23 	  1024 	 
47641 	  24 	  1024 	 
42823 	  25 	  1024 	 
47708 	  26 	  1024 	 
42993 	  27 	  1024 	 
43286 	  28 	  1024 	 
46387 	  29 	  1024 	 
50980 	  30 	  1024 	 
41135 	  1 	  3072 	 
45674 	  2 	  3072 	 
47290 	  3 	  3072 	 
52280 	  4 	  3072 	 
47808 	  5 	  3072 	 
42188 	  6 	  3072 	 
44829 	  7 	  3072 	 
42369 	  8 	  3072 	 
45957 	  9 	  3072 	 
48206 	  10 	  3072 	 
45011 	  11 	  3072 	 
42021 	  12 	  3072 	 
42646 	  13 	  3072 	 
41672 	  14 	  3072 	 
42871 	  15 	  3072 	 
49505 	  16 	  3072 	 
42983 	  17 	  3072 	 
44251 	  18 	  3072 	 
42914 	  19 	  3072 	 
48786 	  20 	  3072 	 
43628 	  21 	  3072 	 
41325 	  22 	  3072 	 
47241 	  23 	  3072 	 
42771 	  24 	  3072 	 
42082 	  25 	  3072 	 
43096 	  26 	  3072 	 
43196 	  27 	  3072 	 
49537 	  28 	  3072 	 
48019 	  29 	  3072 	 
43485 	  30 	  3072 	 
